t,Nu
0.0997,3.91533316
0.0999,3.91533848
0.1001,3.91534377
0.1003,3.91534901
0.1005,3.91535421
0.1006,3.91535936
0.1008,3.91536448
0.1010,3.91536956
0.1012,3.91537459
0.1014,3.91537959
0.1015,3.91538454
0.1017,3.91538945
0.1019,3.91539433
0.1021,3.91539916
0.1022,3.91540396
0.1024,3.91540872
0.1026,3.91541344
0.1028,3.91541812
0.1030,3.91542276
0.1031,3.91542736
0.1033,3.91543193
0.1035,3.91543646
0.1037,3.91544095
0.1039,3.91544540
0.1040,3.91544982
0.1042,3.91545420
0.1044,3.91545855
0.1046,3.91546286
0.1048,3.91546714
0.1049,3.91547138
0.1051,3.91547558
0.1053,3.91547975
0.1055,3.91548389
0.1056,3.91548799
0.1058,3.91549206
0.1060,3.91549610
0.1062,3.91550010
0.1064,3.91550407
0.1065,3.91550801
0.1067,3.91551191
0.1069,3.91551578
0.1071,3.91551963
0.1073,3.91552344
0.1074,3.91552722
0.1076,3.91553097
0.1078,3.91553469
0.1080,3.91553837
0.1082,3.91554203
0.1083,3.91554566
0.1085,3.91554926
0.1087,3.91555283
0.1089,3.91555638
0.1091,3.91555989
0.1092,3.91556338
0.1094,3.91556684
0.1096,3.91557027
0.1098,3.91557367
0.1099,3.91557705
0.1101,3.91558040
0.1103,3.91558372
0.1105,3.91558702
0.1107,3.91559029
0.1108,3.91559353
0.1110,3.91559675
0.1112,3.91559995
0.1114,3.91560312
0.1116,3.91560626
0.1117,3.91560939
0.1119,3.91561248
0.1121,3.91561555
0.1123,3.91561860
0.1125,3.91562163
0.1126,3.91562463
0.1128,3.91562761
0.1130,3.91563057
0.1132,3.91563350
0.1133,3.91563641
0.1135,3.91563930
0.1137,3.91564216
0.1139,3.91564501
0.1141,3.91564783
0.1142,3.91565063
0.1144,3.91565341
0.1146,3.91565617
0.1148,3.91565891
0.1150,3.91566162
0.1151,3.91566432
0.1153,3.91566699
0.1155,3.91566965
0.1157,3.91567228
0.1159,3.91567490
0.1160,3.91567749
0.1162,3.91568007
0.1164,3.91568262
0.1166,3.91568516
0.1168,3.91568767
0.1169,3.91569017
0.1171,3.91569265
0.1173,3.91569511
0.1175,3.91569755
0.1176,3.91569997
0.1178,3.91570237
0.1180,3.91570476
0.1182,3.91570713
0.1184,3.91570947
0.1185,3.91571180
0.1187,3.91571412
0.1189,3.91571641
0.1191,3.91571869
0.1193,3.91572095
0.1194,3.91572319
0.1196,3.91572542
0.1198,3.91572762
0.1200,3.91572982
0.1202,3.91573199
0.1203,3.91573415
0.1205,3.91573629
0.1207,3.91573841
0.1209,3.91574052
0.1210,3.91574261
0.1212,3.91574469
0.1214,3.91574675
0.1216,3.91574880
0.1218,3.91575082
0.1219,3.91575284
0.1221,3.91575484
0.1223,3.91575682
0.1225,3.91575879
0.1227,3.91576074
0.1228,3.91576268
0.1230,3.91576460
0.1232,3.91576651
0.1234,3.91576840
0.1236,3.91577028
0.1237,3.91577215
0.1239,3.91577400
0.1241,3.91577584
0.1243,3.91577766
0.1245,3.91577947
0.1246,3.91578127
0.1248,3.91578305
0.1250,3.91578482
0.1252,3.91578657
0.1253,3.91578832
0.1255,3.91579005
0.1257,3.91579176
0.1259,3.91579347
0.1261,3.91579516
0.1262,3.91579684
0.1264,3.91579850
0.1266,3.91580016
0.1268,3.91580180
0.1270,3.91580343
0.1271,3.91580504
0.1273,3.91580665
0.1275,3.91580824
0.1277,3.91580982
0.1279,3.91581139
0.1280,3.91581295
0.1282,3.91581449
0.1284,3.91581603
0.1286,3.91581755
0.1287,3.91581906
0.1289,3.91582057
0.1291,3.91582206
0.1293,3.91582354
0.1295,3.91582500
0.1296,3.91582646
0.1298,3.91582791
0.1300,3.91582934
0.1302,3.91583077
0.1304,3.91583218
0.1305,3.91583359
0.1307,3.91583498
0.1309,3.91583637
0.1311,3.91583774
0.1313,3.91583911
0.1314,3.91584046
0.1316,3.91584181
0.1318,3.91584314
0.1320,3.91584446
0.1322,3.91584578
0.1323,3.91584709
0.1325,3.91584838
0.1327,3.91584967
0.1329,3.91585095
0.1330,3.91585221
0.1332,3.91585347
0.1334,3.91585472
0.1336,3.91585596
0.1338,3.91585719
0.1339,3.91585842
0.1341,3.91585963
0.1343,3.91586083
0.1345,3.91586203
0.1347,3.91586322
0.1348,3.91586440
0.1350,3.91586557
0.1352,3.91586673
0.1354,3.91586788
0.1356,3.91586903
0.1357,3.91587017
0.1359,3.91587129
0.1361,3.91587242
0.1363,3.91587353
0.1364,3.91587463
0.1366,3.91587573
0.1368,3.91587682
